File Name:,G:\PUM\DATA\MicroPEM_010318_160408raw.csv
Download Date:,01/03/2018
Total Download Time (s):,3.3

Device Serial #:,RTI321177N
Date/Time Hardware:,5/24/2016
Date/Time Software:,1/27/2017,v2.0.6236.20371
Participant ID#:,
Filter ID#:,S000000
Participant Weight (kg),NA
Inlet Aerosol Size:,PM2.5
Laser Cycling Variables:Delay - Sampling time - Off time,1,1,8
System Times,No cycling - Always On
Sensor,Slope,Offset,Log Interval,High Target (ref only),Low target (ref only)
Nephelometer,3.0000,87,10
Temperature,1.0000,53,30
Humidity,1.0000,-8,10
Inlet Pressure,4095.0000,0,30,1920,1408
Orifice Pressure,4095.0000,0,30,1920,1408
Flow,,,30,900,200,0.5
Accelerometer,,,30
Battery,,,60
Ventilation,NA,NA

Date,Time,RH-Corrected Nephelometer,RH-Corrected Nephelometer HR,Temp,RH,Battery,Inlet Press,Orifice Press,Flow,X-axis,Y-axis,Z-axis,Vector Sum Composite,ShutDownReason,Wearing Compliance,ValidityWearingCompliance validation
Date,Time,μg/m³,μg/m³,C,%,V,in H2O,in H2O,Lpm,g-unit,g-unit,g-unit,g-unit,,0=valid, 1=questionable, 2=invalid,0=valid, 1=questionable, 2=invalid

5/24/2016,09:00:08,,,,,,,,,,,,,System is starting from a cold reset or from running off coin cell,,
5/24/2016,09:00:41,,,,,,,,,,,,,Button 1 pressed,,
5/24/2016,09:00:42,,,,,,,,,,,,,Start button,,
5/24/2016,09:01:00,,,,,4.9,,,,1.00,0.00,0.02,1.00,,,
5/24/2016,09:01:10,61.061,61.061,22.8,29.9,4.8,1.95,0.81,0.50,,,,,,,
5/24/2016,09:01:20,23.236,24.689,,30.3,,,,,,,,,,,
5/24/2016,09:01:30,14.514,14.514,,30.5,,,,,1.00,0.00,0.01,1.00,,,
5/24/2016,09:01:40,14.520,15.972,22.8,30.4,,1.95,0.82,0.50,,,,,,,
5/24/2016,09:01:50,20.314,21.765,,30.6,,,,,,,,,,,
5/24/2016,09:02:00,17.441,18.894,,30.0,,,,,1.00,0.00,0.01,1.00,,,
5/24/2016,09:02:10,23.246,24.698,22.8,30.1,4.9,1.95,0.81,0.50,,,,,,,
5/24/2016,09:02:20,26.164,27.617,,29.9,,,,,,,,,,,
5/24/2016,09:02:30,17.351,17.351,,31.9,,,,,1.00,0.00,0.01,1.00,,,
5/24/2016,09:02:40,49.139,49.139,22.8,32.1,,1.94,0.81,0.50,,,,,,,
